    Table  	Table Abbreviation	Key	Description	Duplicates
EDIXSDUPLLOB  	EXUL	EXUL0	CODE	No
EDTDADSU  	EDU	EDU0	REFSND	Yes
EDTDADSU  	EDU	EDU1	REFSND+NUMLIN	No
EDTDADSU  	EDU	EDU2	GRP	Yes
EDTTDS  	ETD	ETD0	SIREN+CRN+RECTYP+NUMLIN+NUM	No
EECBIDWL  	EWL	EWL0	EECNUM+BIDNUM+CREDAT	No
EFASACT  	E21	EVE0	REF+TIMSTP	No
EFASACT  	E21	EVE1	REF+TIMSTPO+TIMSTP	No
EFASACT  	E21	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASAFFAGE  	E22	EVE0	REF+TIMSTP	No
EFASAFFAGE  	E22	EVE1	REF+TIMSTPO+TIMSTP	No
EFASAFFAGE  	E22	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCCN  	E53	EVE0	REF+TIMSTP	No
EFASCCN  	E53	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCCN  	E53	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCCNAGE  	E34	EVE0	REF+TIMSTP	No
EFASCCNAGE  	E34	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCCNAGE  	E34	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCCNCNL  	E32	EVE0	REF+TIMSTP	No
EFASCCNCNL  	E32	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCCNCNL  	E32	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCCNISS  	E33	EVE0	REF+TIMSTP	No
EFASCCNISS  	E33	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCCNISS  	E33	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCFS  	E38	EVE0	REF+TIMSTP	No
EFASCFS  	E38	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCFS  	E38	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCHGIMP  	E23	EVE0	REF+TIMSTP	No
EFASCHGIMP  	E23	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCHGIMP  	E23	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCHGPPL  	E37	EVE0	REF+TIMSTP	No
EFASCHGPPL  	E37	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCHGPPL  	E37	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCNL  	E30	EVE0	REF+TIMSTP	No
EFASCNL  	E30	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCNL  	E30	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASCRT  	E24	EVE0	REF+TIMSTP	No
EFASCRT  	E24	EVE1	REF+TIMSTPO+TIMSTP	No
EFASCRT  	E24	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASIML  	E25	EVE0	REF+TIMSTP	No
EFASIML  	E25	EVE1	REF+TIMSTPO+TIMSTP	No
EFASIML  	E25	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASISS  	E26	EVE0	REF+TIMSTP	No
EFASISS  	E26	EVE1	REF+TIMSTPO+TIMSTP	No
EFASISS  	E26	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASLNKCNL  	E36	EVE0	REF+TIMSTP	No
EFASLNKCNL  	E36	EVE1	REF+TIMSTPO+TIMSTP	No
EFASLNKCNL  	E36	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASMTC  	E27	EVE0	REF+TIMSTP	No
EFASMTC  	E27	EVE1	REF+TIMSTPO+TIMSTP	No
EFASMTC  	E27	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASPLMDR  	K33	EVE0	REF+TIMSTP	No
EFASPLMDR  	K33	EVE1	REF+TIMSTPO+TIMSTP	No
EFASPLMDR  	K33	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASREEVAL  	E28	EVE0	REF+TIMSTP	No
EFASREEVAL  	E28	EVE1	REF+TIMSTPO+TIMSTP	No
EFASREEVAL  	E28	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASRNW  	E31	EVE0	REF+TIMSTP	No
EFASRNW  	E31	EVE1	REF+TIMSTPO+TIMSTP	No
EFASRNW  	E31	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASRNWCNL  	E35	EVE0	REF+TIMSTP	No
EFASRNWCNL  	E35	EVE1	REF+TIMSTPO+TIMSTP	No
EFASRNWCNL  	E35	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASRURST  	K32	EVE0	REF+TIMSTP	No
EFASRURST  	K32	EVE1	REF+TIMSTPO+TIMSTP	No
EFASRURST  	K32	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASRUSTP  	K31	EVE0	REF+TIMSTP	No
EFASRUSTP  	K31	EVE1	REF+TIMSTPO+TIMSTP	No
EFASRUSTP  	K31	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EFASVATREG  	E29	EVE0	REF+TIMSTP	No
EFASVATREG  	E29	EVE1	REF+TIMSTPO+TIMSTP	No
EFASVATREG  	E29	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EGRTCASH  	E61	EVE0	REF+TIMSTP	No
EGRTCASH  	E61	EVE1	REF+TIMSTPO+TIMSTP	No
EGRTCASH  	E61	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EGRTCNL  	E64	EVE0	REF+TIMSTP	No
EGRTCNL  	E64	EVE1	REF+TIMSTPO+TIMSTP	No
EGRTCNL  	E64	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EGRTCRB  	E63	EVE0	REF+TIMSTP	No
EGRTCRB  	E63	EVE1	REF+TIMSTPO+TIMSTP	No
EGRTCRB  	E63	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EGRTCRT  	E62	EVE0	REF+TIMSTP	No
EGRTCRT  	E62	EVE1	REF+TIMSTPO+TIMSTP	No
EGRTCRT  	E62	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EINVMAP  	EINVMAP	EINVMAP0	MAPNAME	No
EINVMAP  	EINVMAP	EINVMAP1	CODE+VER+LEG+SENSE+CPY+FCY	No
EINVMAPD  	EINVMD	EINVMAPD0	MAPNAME+LIN	No
EINVMAPD  	EINVMD	EINVMAPD1	CODE+VER+LEG+SENSE+CPY+FCY+LIN	No
EINVMAPNODES  	EINVMND	EINVMND0	MAPNAME+NODE	No
EINVMAPNODES  	EINVMND	EINVMND1	MD5	Yes
EINVMAPNODES  	EINVMND	EINVMND2	NODE	Yes
EINVMAPXSD  	EINVMXS	EINVMXS0	CODE	No
ELEAACTU  	E41	EVE0	REF+TIMSTP	No
ELEAACTU  	E41	EVE1	REF+TIMSTPO+TIMSTP	No
ELEAACTU  	E41	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELEACNL  	E47	EVE0	REF+TIMSTP	No
ELEACNL  	E47	EVE1	REF+TIMSTPO+TIMSTP	No
ELEACNL  	E47	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELEACRT  	E42	EVE0	REF+TIMSTP	No
ELEACRT  	E42	EVE1	REF+TIMSTPO+TIMSTP	No
ELEACRT  	E42	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELEAEND  	E43	EVE0	REF+TIMSTP	No
ELEAEND  	E43	EVE1	REF+TIMSTPO+TIMSTP	No
ELEAEND  	E43	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELEAPAY  	E44	EVE0	REF+TIMSTP	No
ELEAPAY  	E44	EVE1	REF+TIMSTPO+TIMSTP	No
ELEAPAY  	E44	EVE2	CPTFLG+DPRPLN+FSTMTHDAT+CPY+FCY+REF	Yes
ELEARPU  	E45	EVE0	REF+TIMSTP	No
ELEARPU  	E45	EVE1	REF+TIMSTPO+TIMSTP	No
ELEARPU  	E45	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELEATRM  	E46	EVE0	REF+TIMSTP	No
ELEATRM  	E46	EVE1	REF+TIMSTPO+TIMSTP	No
ELEATRM  	E46	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELOFCIM  	E01	EVE0	REF+TIMSTP	No
ELOFCIM  	E01	EVE1	REF+TIMSTPO+TIMSTP	No
ELOFCIM  	E01	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELOFCNL  	E03	EVE0	REF+TIMSTP	No
ELOFCNL  	E03	EVE1	REF+TIMSTPO+TIMSTP	No
ELOFCNL  	E03	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ELOFVATREG  	E02	EVE0	REF+TIMSTP	No
ELOFVATREG  	E02	EVE1	REF+TIMSTPO+TIMSTP	No
ELOFVATREG  	E02	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EMODELE  	E00	EVE0	REF+TIMSTP	No
EMODELE  	E00	EVE1	REF+TIMSTPO+TIMSTP	No
EMODELE  	E00	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ENTITE  	ENT	ENT0	ENT	No
ENVELOPPE  	ENV	ENV0	ENV	No
ENVFIY  	ENF	ENF0	ENV+FIYNUM	No
ENVFIY  	ENF	ENF1	ENV	Yes
EPHYAFFGEO  	E82	EVE0	REF+TIMSTP	No
EPHYAFFGEO  	E82	EVE1	REF+TIMSTPO+TIMSTP	No
EPHYAFFGEO  	E82	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EPHYAFFGEO  	E82	EVE3	REF+EVTDAT	Yes
EPHYCRT  	E81	EVE0	REF+TIMSTP	No
EPHYCRT  	E81	EVE1	REF+TIMSTPO+TIMSTP	No
EPHYCRT  	E81	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
EPHYISS  	E83	EVE0	REF+TIMSTP	No
EPHYISS  	E83	EVE1	REF+TIMSTPO+TIMSTP	No
EPHYISS  	E83	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ESCSRE  	ECE	ECE0	ESCCOD	No
ESCSRE  	ECE	ECE1	SRENUM+ESCDAT	Yes
ESCSRE  	ECE	ECE2	SREASS+SREDET	Yes
ESLSALTYP  	ESTY	ESTY0	ESLCOD	No
ESLSALTYPD  	ESTYD	ESTYD0	ESLCOD+SALTYPCOD	No
ESLSALTYPD  	ESTYD	ESTYD1	ESLCOD+EXPCOD+SALTYPCOD	No
ESLTYPASS  	ESTA	ESTA0	ESLCOD+LEG	No
ESLTYPASSD  	ESTAD	ESTAD0	ESLCOD+LEG+TYP+VAT+FLGVAT+VATIPT+VCRTYP+GTEGRPCOD+VACBPR	No
ESLTYPASSD  	ESTAD	ESTAD1	ESLCOD+TYP	Yes
EURSRVDCL  	ESH	ESH0	CPY+ENDDAT+BPR+EECNUM	No
EURSRVDCL  	ESH	ESH1	CPY+STRDAT+ENDDAT+EECNUM+BPR	No
EURSRVDCLD  	ESD	ESD0	CPY+ENDDAT+BPR+EECNUM+ACCNUM	No
EVCRESULT  	EVCR	EVCRESULT0	EVCTARGET+BPR+CODADR+EVCORIGIN	No
EVENTTRNP  	EVT	EVT0	TRNNUM+EVTNUM	No
EXKWORD  	EKW	EKW0	KEYWRD	No
EXPARAM  	EXM	EXM0	AXI+INDPF	No
EXPENSES  	EXS	EXS0	CLB+DATEXS+NBREXS	No
EXPENSES  	EXS	EXS1	ACCNUM	No
EXPENSES  	EXS	EXS2	CPY+CUR+FCY+DATEXS	Yes
EXPENSES  	EXS	EXS3	VCRTYP+VCRNUM+ACCNUM	No
EXPENSES  	EXS	EXS4	PJTLIN	Yes
EXPENSESH  	EXH	EXH0	CLB	No
EXTRMPRODUCT  	EXTRMPR	PRDXT0	ITMREF	No
EXTRMPRODUCT  	EXTRMPR	PRDXT1	PROVIDER	Yes
EXTRMPROVIDE  	EXTRMPV	PROVXT0	PROVIDERNUM	No
FACGROUP  	FGR	FGR0	CPY+FCY	No
FACGROUP  	FGR	FGR1	FCY+CPY	No
FACILITY  	FCY	FCY0	FCY	No
FACILITY  	FCY	FCY1	LEGCPY+FCY	No
FACTOR  	FCT	FCT0	FCTCOD	No
FACTOR  	FCT	FCT1	FCTNAM	Yes
FAEPAR  	FAE	FAE0	IDT	No
FAMPB  	PBL	PBL0	NUM	No
FAMPB  	PBL	PBL1	NUM+PAEGRPNUM	No
FAMPB  	PBL	PBL2	SUT	Yes
FAMPBQUE  	PBQ	PBQ0	GRPPBLNUM	Yes
FAMPBQUE  	PBQ	PBQ1	QUENUM	Yes
FAMPBQUE  	PBQ	PBQ2	GRPPBLNUM+QUENUM	No
FAMPBREP  	PBR	PBR0	GRPPBLNUM+REPNUM	No
FAMPBREP  	PBR	PBR2	GRPPBLNUM	Yes
FAMPBREP  	PBR	PBR1	REPNUM	Yes
FASFAM  	FAM	FAM0	FAMREF	No
FIEDIC  	FID	FID0	CRITAB+CAT	No
FIEDICFIE  	FDF	FDF0	CRITAB+SELCRIFIE+CAT	No
FIFOCONVAR  	FIFCV	FIFCV0	FIFONO	No
FIFOCONVAR  	FIFCV	FIFCV1	FIFCOD+FIFONO-FINDAT	No
FIFOCONVARD  	FIFCVD	FIFCVD0	FIFONO+LIN	No
FIFOCONVARD  	FIFCVD	FIFCVD1	FIFONO+FORSETTL	Yes
FIFOCONVARD  	FIFCVD	FIFCVD2	FIFONO+NUM+TYP	Yes
FILTDS  	FTD	FTD0	GRP+NUMREC	No
FILTDS  	FTD	FTD1	GRP	Yes
FISCALYEAR  	FIY	FIY0	CPY+LEDTYP+FIYNUM	No
FISCALYEAR  	FIY	FIY1	CPY+LEDTYP	Yes
FISCYEAR  	FIS	FIY0	CPY+CNX+DATSTRFIY	No
FISCYEAR  	FIS	FIY1	CPY+CNX+STAFIY	Yes
FISCYEAR  	FIS	FIY2	CPY+CNX+DATENDFIY	No
FRECST  	FCS	FCS0	FCSCOD	No
FREFLD  	FRF	FRF0	OBJ+CPY	No
FRTCLS  	FRT	FRT0	FRTCLS+LEG	No
FRTCLS  	FRT	FRT1	LEG+FRTCLS	No
FRTCOMCOD  	FCC	FCC0	COMTYP+COMCOD	No
FRTCOMCOD  	FCC	FCC1	COMCOD+COMTYP	No
FRTCOMCOD  	FCC	FCC3	COMCOD	Yes
FUP  	FUP	FUP0	NUMEDT+LAN+TRI+GRPCRI	Yes
FUP  	FUP	FUP1	NUMEDT+LAN+GRPCRI+LEVFUP	Yes
FUP  	FUP	FUP2	TYP+NUM+LIG	Yes
FUP  	FUP	FUP3	FUPMOD	Yes
FUP  	FUP	FUP4	BPRFUP+ADD+FCY	Yes
FUP  	FUP	FUP5	NUMEDT+ACCNUM+DUDLIG+NUMCOP	No
FUP  	FUP	FUP6	NUMEDT+GRPCRI	Yes
FUP  	FUP	FUP7	DST	Yes
FUP  	FUP	FUP8	FCY	Yes
FUPGRP  	FGP	FGP0	GRP	No
FUPTXT  	FPT	FPT0	LAN+GRP+TYPTXT+LEVFUP	No
FXBLOB  	FBB	ABB0	CODBLB+IDENT1+IDENT2+IDENT3	No
FXDASSETS  	FAS	FAS0	AASREF	No
FXDASSETS  	FAS	FAS1	CPY+AASREF	No
FXDASSETS  	FAS	FAS2	CPY+FCY+AASREF	No
FXDASSETS  	FAS	FAS3	SET	Yes
FXDASSETS  	FAS	FAS5	CMP	Yes
FXDASSETS  	FAS	FAS4	PROPLN+AASREF	Yes
FXDASSETS  	FAS	FAS7	CPY+ENAFAS	Yes
FXDASSETS  	FAS	FAS8	CCNREF+RNWDAT+AASREF	No
FXDASSETS  	FAS	FAS9	CCNACTCOD+CPY+AASREF	No
FXDASSETS  	FAS	FAS10	KPSEPLN+CPY+AASREF	No
FXDASSETS  	FAS	FAS11	CMPSTA+AASREF	No
FXDASSETS  	FAS	FAS12	LEAREF	Yes
FXDLIFL  	FLU	FLU0	AASREF+DPRPLN+TYP+FIYSTRDAT+PERSTRDAT+TXSCAT+FCY	No
FXDLIFL  	FLU	FLU1	CODTXS+TXSCAT	Yes
FXDLIFL  	FLU	FLU2	CPY+CNX+FLGSTATXS+FIYSTRDAT	Yes
FXDLOFGRP  	LFG	LFG0	GRPREF	No
FXDLOFGRP  	LFG	LFG1	CPY+GRPREF	No
FXDMVT  	FXM	FXM0	IDMVT	No
FXDMVT  	FXM	FXM1	OBJMVT+REF1MVT+REF2MVT+SEQMVT+TYPMVT	No
FXDMVT  	FXM	FXM2	OBJMVT+TYPMVT+REF1MVT+REF2MVT+SEQMVT	Yes
FXDMVTD  	FXD	FXD0	IDMVT+CODZONE+DIME+DPRPLN	No
GACCCLS  	CLS	CLS0	LEG+CLSCOD	No
GACCCODE  	CAC	CAC0	TYP+ACCCOD+COA	No
GACCCODE  	CAC	CAC1	TYP+ACCCOD	Yes
GACCCODE  	CAC	CAC2	COA+TYP+ACCCOD	No
GACCCODLIG  	CCL	CCL0	TYP+NUMLIG	No
GACCDEF  	GCF	GCF0	COAORI+COADEN+COASTR	No
GACCDENCOD  	CDA	CDA0	COD+LEG	No
GACCDIM  	GCD	GCD0	COA+LIN	No
GACCDUDATE  	DUD	DUD0	TYP+NUM+LIG+DUDLIG	No
GACCDUDATE  	DUD	DUD1	ACCNUM+DUDLIG	No
GACCDUDATE  	DUD	DUD2	SOINUM+ACCNUM+DUDLIG	No
GACCDUDATE  	DUD	DUD3	FLGCLE+FCY+BPRPAY+DUDDAT	Yes
GACCDUDATE  	DUD	DUD4	BPR+SOINUM+ACCNUM+DUDLIG	No
GACCDUDATE  	DUD	DUD5	BPRPAY+SOINUM+ACCNUM+DUDLIG	No
GACCDUDATE  	DUD	DUD6	FLGCLE+ACCNUM+DUDLIG	No
GACCDUDATE  	DUD	DUD7	BPRPAY+BPR+NUMDUD	No
GACCDUDATE  	DUD	DUD8	NUMDUD	No
GACCDUDATE  	DUD	DUD9	BPR+BPAPAY+NUMDUD	No
GACCENTRY  	HAE	HAE0	TYP+NUM	No
GACCENTRY  	HAE	HAE1	JOU+ACCDAT+TYP+NUM	No
GACCENTRY  	HAE	HAE2	REFSIM+TYP+NUM	No
GACCENTRY  	HAE	HAE3	DACDIA+TYP-NUM	No
GACCENTRY  	HAE	HAE4	ACCDAT+TYP+NUM	No
GACCENTRY  	HAE	HAE5	REFINT	Yes
GACCENTRY  	HAE	HAE6	TYP+NUM+VATDAT+CPY	No
GACCENTRYA  	DAA	DAA0	TYP+NUM+LIN+LEDTYP+ANALIN	No
GACCENTRYA  	DAA	DAA1	CPY+FCYLIN+COA+ACC+BPR+ACCDAT+ACCNUM+ANALIN	No
GACCENTRYA  	DAA	DAA2	TYP+NUM+LIN+ANALIN+LEDTYP	No
GACCENTRYA  	DAA	DAA3	ACCNUMDOE+ACCNUM+ANALIN+CPY+FCYLIN+ACCDAT	No
GACCENTRYD  	DAE	DAE0	TYP+NUM+LIN+LEDTYP	No
GACCENTRYD  	DAE	DAE1	CPY+FCYLIN+LEDTYP+ACC+BPR+ACCDAT+ACCNUM	No
GACCENTRYD  	DAE	DAE2	ACCNUM	No
GACCENTRYD  	DAE	DAE3	LEDTYP+ACC+BPR+CPY+ACCDAT+ACCNUM	No
GACCENTRYD  	DAE	DAE4	LEDTYP+BPR+CPY+ACCDAT+ACCNUM	No
GACCENTRYD  	DAE	DAE5	CPY+FCYLIN+LEDTYP+BPR+ACCDAT+ACCNUM	No
GACCENTRYD  	DAE	DAE6	LEDTYP+ACC+BPR+MTC+TYP+NUM+LIN+ACCNUM	No
GACCENTRYD  	DAE	DAE7	TYP+NUM+IDTLIN+LEDTYP+LIN	No
GACCENTRYD  	DAE	DAE8	PJTLIN	Yes
GACCFIX  	GAF	GAF0	COD	No
GACCFIYENA  	FYA	FYA0	CUR+CPY+LEDTYP+FCY+GRP+ACC+BPR+LIG+ANALIG	No
GACCFIYENA  	FYA	FYA1	FCY+CPY+LEDTYP+CUR+GRP+ACC+BPR+LIG+ANALIG	No
GACCFIYEND  	FYD	FYD0	CUR+CPY+LEDTYP+FCY+GRP+ACC+BPR+LIG	No
GACCFIYEND  	FYD	FYD1	FCY+CPY+LEDTYP+CUR+GRP+ACC+BPR+LIG	No
GACCGRUPYM  	GRY	GRY0	PYM+GRU+LIN	No
GACCGRUPYM  	GRY	GRY1	PYM+LEV+GRU+LIN	No
GACCGRUPYM  	GRY	GRY2	PYM+SBBGRU	Yes
GACCGRUPYM  	GRY	GRY4	PYM+GRU	Yes
GACCGRUPYM  	GRY	GRY5	PYM+ACC	Yes
GACCINTCPY  	GIC	GIC0	NUM	No
GACCINTCPYA  	GIA	GIA0	NUM+LIN+ANALIN	No
GACCINTCPYD  	GID	GID0	NUM+LIN	No
GACCOUNT  	GAC	GAC0	COA+ACC	No
GACCOUNT  	GAC	GAC1	COA+ACCSHO	Yes
GACCOUNTA  	GAA	GAA0	COA+ACC	No
GACCPYM  	GYM	GYM0	PYM	No
GACCPYM  	GYM	GYM1	COA+PYM	No
GACCPYMLIK  	GYK	GYK0	PYM+LEV+ACC	No
GACCPYMPRT  	GYP	GYP0	COA+PYM+ACC	No
GACCTMP  	HAT	HAT0	TYP+NUM	No
GACCTMP  	HAT	HAT1	NUMPCE	Yes
GACCTMPA  	AAT	AAT0	TYP+NUM+LIN+LEDTYP+ANALIN	No
GACCTMPD  	DAT	DAT0	TYP+NUM+LIN+LEDTYP	No
GACCTMPD  	DAT	DAT1	ACCNUM	No
GACCTMPD  	DAT	DAT2	CODAUTACE+LEDTYP+CRIMTC+ACCNUM	No
GACCTMPD  	DAT	DAT3	TYP+NUM+IDTLIN+LEDTYP+LIN	No
GACM  	GCM	GCM0	GCM	No
GAJOUSTA  	JST	JST0	CPY+JOU	No
GAPARBSE  	PBS	PBS0	COA+NUMCOD+ACCSTR	No
GAPARDUM  	PDM	PDM0	COA+COD+NUMLIN	No
GAPARDUM  	PDM	PDM1	COA+COD	Yes
GAUTACE  	GAU	GAU0	COD	No
GAUTACED  	GAD	GAD0	COD+LINNUM	No
GAUTACEF  	GAG	GAG0	COD+LINNUM+FLD	No
GAUTACEL  	GALEG	GALEG0	COD+LINNUM+ACTLEG	No
GAUTRCTMP  	GTT	GTT0	VCRNUM+LIN+LINCODACE+NUMORD	No
GAUTRCTMP  	GTT	GTT1	CODACE+VCRNUM+UIDUSR+LIN+SUMKEY+NUMORD	No
GAUTRCTMP  	GTT	GTT2	UIDUSR	Yes
GAUTRCVCR  	GAT	GAT0	ACCNUM+NUMORD	No
GAUTRCVCR  	GAT	GAT1	VCRTYP+VCRNUM	Yes
GAUTRCVCR  	GAT	GAT2	ACCNUM	Yes
GBAGSCR  	GBS	GBS0	FLGHIS+COD	No
GCACCOA  	GCO	GCO0	COD	No
GCCEGRUPYM  	CRY	CRY0	PYM+GRU+LIN	No
GCCEGRUPYM  	CRY	CRY1	PYM+LEV+GRU+LIN	No
GCCEGRUPYM  	CRY	CRY2	PYM+SBBGRU	Yes
GCCEGRUPYM  	CRY	CRY4	PYM+GRU	Yes
GCCEGRUPYM  	CRY	CRY5	PYM+CCE	Yes
GCCEPYM  	CYM	CYM0	PYM	No
GCCEPYM  	CYM	CYM1	DIE+PYM	No
GCCEPYMLIK  	CYK	CYK0	PYM+LEV+CCE	No
GCCEPYMPRT  	CYP	CYP0	DIE+PYM+CCE	No
GCLCACEPAR  	CLC	CLC0	COD	No
GCOA  	COA	COA0	COA	No
GCOMMIT  	CMM	CMM0	NUM	No
GCOMMIT  	CMM	CMM1	NUMREF+TYPREF	Yes
GCOMMITD  	CMD	CMD0	NUM+LIN	No
GCOMMITX  	CMX	CMX0	NUM+LIN+LEDTYP	No
GDIAACC  	GDA	GDA0	DIA	No
GDIAACCD  	GDC	GDC0	DIA+LINNUM	No
GDIAENTRY  	GDE	DIA	DIA	No
GDIAENTRYD  	GDD	GDD0	DIA+FLD	No
GDIE  	DIE	DIE0	DIE	No
GDPDUDUD  	GDPDUD	GDPDUD0	USERID+TYP+NUM+LIG+DUDLIG	No
GDUDSCR  	GDS	GDS0	COD	No
GENTLOT  	LOT	LOT0	LOT	No
GENTLOTA  	LOA	LOA0	LOT+ORNVCR+LIN+ANALIN	No
GENTLOTD  	LOD	LOD0	LOT+ORNVCR+LIN	No
GENTLOTH  	LOH	LOH0	LOT+ORNVCR	No
GFSATT  	GFSATT	ATT0	ATTCOD	No
GFSATTVAL  	GFSATTV	ATTVAL0	ATTCOD+ATTVALCOD	No
GFSCALEXP  	GFSCEP	GFSCEP0	WSTFCY+WST+STRDAT+ENDDAT+STRTIME+ENDTIME	No
GFSCUSFLDS  	GFSCF	GFSCF0	MENNUM+MESNUM	No
GFSCUSVALS  	GFSCV	GFSCV0	FCY	No
GFSITFATTV  	GFSIAV	GFSIAV0	ITMREF+STOFCY+ATTCOD	No
GFSITMATT  	GFSIA	GFSIA0	ITMREF+ATTCOD	No
GFSMRK  	GFSMRK	GFSMRK0	MFGNUM+OPENUM+OPESPLNUM+MRKID	No
GFSOBJ  	GFSOBJ	GFSOBJ0	FCY+TYP+IDENT1+IDENT2	No
GFSOPTLIN  	GFSOL	GFSOL0	OPTCOD+OPTSEQ	No
GFSOPTMAT  	GFSOM	GFSOM0	OPTCOD	No
GFSPIN  	GFSPIN	GFSPIN0	MFGNUM+OPENUM+OPESPLNUM	No
GFSSETEXC  	GFSSTE	MATE0	MATCOD+MATSEQ	No
GFSSETTIM  	GFSST	MAT0	MATCOD	No
GFSTAG  	GFSTAG	GFSTAG0	TAGID	No
GFUPSCR  	GFP	GFP0	COD	No
GJOUCOA  	JCO	JCO0	COA+JOU+LEG	No
GJOUCOA  	JCO	JCO1	JOU+COA+LEG	No
GJOUCOA  	JCO	JCO2	JOU+LEG+COA	No
GJOURNAL  	JOU	JOU0	JOU+LEG	No
GJOURNAL  	JOU	JOU1	DES	Yes
GLED  	LED	LED0	LED	No
GRANTS  	GRT	GRT0	GRAREF	No
GRANTS  	GRT	GRT1	CPY+GRAREF	No
GRANTS  	GRT	GRT2	CPY+FCY+GRAREF	No
GRANTS  	GRT	GRT3	CPY+FCY+INVPLN	Yes
GRPACEMTC  	GRM	GRM0	COD+NUMORD+CODACE1+LIG1	No
GRPAUTACE  	GRA	GRA0	COD	No
GRPCUR  	GCU	GCU0	GRP	No
GRPDSP  	GSP	GSP0	DIE+COD+CCE	No
GRPDSP  	GSP	GSP1	DIE	Yes
GRPSAC  	GSC	GSC0	COA+GRU+NUMLIN	No
GRPSAC  	GSC	GSC1	COA+GRU+SAC	No
GSTDTL  	GDL	GDL0	RPTNUM	Yes
GSTDTL  	GDL	GDL1	NUM+BPR+VAT+SNS	No
GSTGRP  	GSTGH	GSTGH0	CODGSTGRP	No
GSTGRPD  	GSTGD	GSTGD0	CODGSTGRP+LIN	No
GSTGRPD  	GSTGD	GSTGD1	CODGSTGRP+CPY	No
GSTHDR  	GHR	GHR0	RPTNUM	No
GSTHDR  	GHR	GHR1	STRDAT+ENDDAT+FCY+CPY+ALLFCY+ALLCPY	Yes
GSTPER  	GSTPH	GSTPH0	CODGSTPER	No
GSTPER  	GSTPH	GSTPH1	DATSTR-CODGSTGRP	No
GSTPERD  	GSTPD	GSTPD0	CODGSTPER+LIN	No
GTABACC  	GTC	GTC0	CNSCOD+COD	No
GTABACC2  	GT2	GT20	COA+ACCROO	No
GTABACC3  	GTC3	GTC3	CNSCOD+COD	No
GTEGRP  	GTEGH	GTEGH0	GTEGRPCOD+LEG	No
GTEGRPD  	GTEGD	GTEGD0	GTEGRPCOD+LEG+LIN	No
