Table	Table Abbreviation	 Description
PJMSALITMD	PSPLD	 Liste des produits vendables
PJMSC	PJC	 Dépenses consolidées
PJMSCCT	PJCCT	 Dépenses consolidées
PJMSNPD	PSNPD	 Détail de l'instantané
PJMSNPH	PSNPH	 Instantanés
PJMSNPW0	PSW0	 Structure temporaire instantanée
PJMSNPW1	PSW1	 Structure temporaire instantanée
PJMSOLITMD	PSOD	 Liste des produits vendus
PJMSOLITMH	PSOH	 Création de documents de vente
PJMSOLITMO	PSOO	 Liste des produits vendus
PJMTIMACT	PTEAT	 Modèle d'activité
PJMTIMACTI	PTEATI	 Modèle d'activité
PJMTIMCAT	PJTC	 Catégorie de temps
PJMTIMEMP	PTE	 Résumé du temps
PJMTIMEMPI	PTI	 Résumé du temps
PJMTIMEMPRPT	PTER	 Rapport de saisie du temps
PJMTIMEMPTMP	PTET	 Résumé du temps
PJMTSK	PJTA	 Tâche de projet
PJMTSKCAT	PTC	 Catégorie de tâche du projet
PJMTSKCATOPE	PTCO	 Opérations de catégorie de tâches
PJMTSKDEP	PKD	 Dépendances du projet
PJMTSKI	PJTAI	 Tâche de projet
PJMTSKITM	JTT	 Produit principal
PJMTSKITMI	JTTI	 Produit principal
PJMTSKLNK	PTLNK	 Lien de priorité des tâches
PJMTSKOPE	PTKO	 Tâches - Opérations
PJMTSKOPEI	PTKOI	 Tâches - Opérations
PJMTSKOPELNK	OPLNK	 Lien de priorité des opérations
PLANACT	PLAACT	 Actions
PLANDET	PLADET	 Détail du forfait
PLANEMP	PLE	 Planifications des employés
PLANHDR	PLAHDR	 En-tête du plan
PLANTYP	PLN	 Plans de référence
PLGMKG	PLG	 Gestion du planning marketing
PLGOPG	PLO	 Gestion du planning marketing
PLMDEFVAL	PDV	 Valeurs par défaut du PLM
PLMPAR	PPA	 Configuration PLM
PLNBUD	HRPLB	 Budget du plan de formation
PLNCOUT	PLC	 Coûts du plan de formation
PLNFORM	PLF	 plan de formation
POOL	POO	 Pool bancaire
POPSCALEXP	CEP	 Exception de calendrier
POPSCUSFLDS	PSCF	 Prod. Planifié. Les champs personnalisés
POPSCUSVALS	PSCV	 Prod. Planifié. valeurs personnalisées
POPSMRK	MRK	 Planificateur Un marqueur
POPSOBJ	PSOBJ	 Objets dans PS
POPSPIN	PIN	 Type de broche d'opération
POPSTAG	TAG	 Planificateur Une balise
POPUL	HRPOP	 Populations d'employés
POPULA	HRPOA	 Populations d'employés
POPULB	POB	 Populations d'employés
PORDER	POH	 PO
PORDERC	POC	 Bons de commande cumulés avant les retours
PORDERP	POP	 Prix ??des bons de commande
PORDERQ	POQ	 Quantités de bons de commande
PORDITM	POI	 Bons de commande par produit
PORQRC	PORQRC	 Données QR portugaises
POSCOD	POS	 Codes postaux
POSTE	POT	 Position
POSTEDEF	POD	 Valeur par défaut de l'article
POSTEHAB	PHA	 Autorisations
POSTEKSA	PSS	 Champs RSA supplémentaires
PPREASON	PPR	 Raisons du prix d'achat
PPREQUESTD	HRPPD	 Prépayé - Demandes
PPREQUESTH	HRPPH	 Prépayé - Demandes
PPRICCONF	PPC	 Paramètres de tarification des fournisseurs
PPRICFICH	PPF	 Prix ??des fournisseurs (enregistrements)
PPRICLINK	PPK	 Recherche de liste de prix d'achat (lien)
PPRICLIST	PPL	 Listes de prix des fournisseurs
PPRIVARWRK	PPV	 Rapport sur les écarts de prix d'achat
PPVRALISD	HRPVD	 Prépaiement - Liste des variables
PPVRALISH	PVH	 Prépaiement - Liste des variables
PQUOTAT	PQH	 Demandes d'offres
PQUOTATD	PQD	 Détails du produit de la demande de prix
PQUOTATF	PQF	 Détails du fournisseur de la demande de prix
PRECEIPT	PTH	 Reçu
PRECEIPTD	PTD	 Reçus détaillés
PREPINVOICE	PREPI	 Facture de prépaiement
PREPINVOICED	PREPID	 Détail de la facture de prépaiement
PREPINVOICEF	PREPIDF	 Factures finales
PREPINVOICEP	PREPIP	 Paiements de factures d’acompte
PREQUIS	PSH	 Demandes d'achat
PREQUISA	PSA	 Lier les demandes d'achat
PREQUISD	PSD	 Détail de la demande d'achat
PREQUISO	PSO	 Lier les demandes d'achat
PREREPORT	PPP	 Calculer la devise du rapport Crystal
PRESP	PPH	 Réponses aux appels d'offres
PRESPD	PPD	 Détails des réponses à l'appel d'offres
PRESTATION	PSN	 Prestation de services
PRESTCOV	PCO	 Services couverts
PRETURN	PNH	 Retour
PRETURND	PND	 Retour détaillé
PRICSTRUCT	PRS	 Structure des prix (client/supp)
PRJFAS	PJF	 Actifs
PRJLOT	PJL	 Parcelle
PRMDADSU	PRM	 Paramétrage de l'extraction
PRMDUCS	DUC	 Paramétrage de l'extraction
PRMTDS0	TD0	 Paramétrage de l'extraction
PRMTDS1	TD1	 Paramétrage de l'extraction
PROFIL	PRF	 Profil de l'employé
PROFILDEF	HRPFD	 Profil de l'employé Valeurs par défaut
PROJET	PRJ	 Projet
PROPLN	PLP	 Plan de production
PROPLNH	PLH	 Plan de production
PROROG	PRO	 Prolongation de la date d'échéance
PROROGPCE	PRP	 Prolongation de la date d'échéance
PRTSCRWRK	PSW	 Travail de sérigraphie
PRVCLOB	HRPCB	 Textes de bordereaux provisoires
PSEPLN	PSE	 Plan de saisonnalité
PTDSTKVAL	PSV	 Ajustement
PURTRS	PTR	 Transactions d'achat saisies
PVCRFOOT	PVF	 Documents d'achat - pied de page elt
PVCRVAT	PVV	 Documents d'achat - taxes
PWRKORDERS	PWO	 Exigences prises en compte
PWRKPND	PWR	 Détail de la ligne de retour temporaire
PWRKPNH	PWE	 Retour temporaire
PWRKPOC	PWC	 Contrat de produit temporaire
PWRKPOP	PWP	 Contrat de produit temporaire
PWRKPOQ	PWQ	 Détail de la commande temporaire
PWRKPQF	PWF	 RFQ ADR fournisseur temporaire
PWRKPTD	PWD	 Reçu détaillé temporaire
PWRKPTH	PWH	 Reçu temporaire
PWRKSTT	PWS	 Sous-traitance
PYHCAS	PCH	 Interface Trésorerie
PYRAPAR	PYRA	 Configuration de la paie NA du SIRH
QLYCRD	QLC	 Fiches techniques
QLYCRDASW	QLA	 Dossiers de qualité – réponses
QLYCRDNQA	NQA	 Échantillonnage : critères AQL
QLYCRDQST	QLQ	 Dossiers de qualité - questions
QLYWRK	QLW	 Dossier de travail - réponses
QUEUE	QUE	 File d'attente
QURCRI	QCR	 Critères de cible
QURCRIVAL	QCV	 Valeurs des critères
QUREXTRACT	QTX	 Extraction de cibles
QURTMP	QTP	 Processus cible
RBKBELDET	RBD	 Détail du relevé bancaire belge
RBKBELDUD	RBU	 Poste bancaire belge non soldé
RBKBELHEA	RBH	 Relevé bancaire belge
RBKBELTMP	RBW	 Poste bancaire belge non soldé
RBKRUBBEL	RRB	 Rubriques CODA
RCRINVOICE	RCH	 Factures récurrentes
REACHPAR	RPA	 Configuration REACH
REGUL	RGL	 Ajustements
RELBANK	RBK	 relevé de compte bancaire
RELBANKREM	RBR	 Commentaires sur le relevé bancaire
RELMT940	RLT	 Fichier FMT940 (en-tête)
RELMT940D	RLD	 Fichier FMT940 (lignes)
REPART	HRREP	 Méthodes de distribution
REPCUMTDS	RCT	 Récupération des totaux Dads-U
REPLINDEF	RLI	 Gestion des TaxUID
REPORTMPOR	RMPOR	 Tableau des touches d'impression temporaire
REPSEC	RSE	 Contacts marketing secondaires
RESOURCES	RSS	 Ressources
RESRES	RRS	 Réservations de ressources
RETRO	RET	 Dossier de remboursement
RETROCAL	REC	 Back-pay - calculs
RETROCTR	RCR	 Back-pay - Employés
RETRORUB	RER	 Back-pay - Articles
RETROSAL	RES	 Back-pay - Employés
RETROVAL	RVL	 Back-pay - Variables
RETROVRA	REV	 Back-pay - Variables
REVREC	REVREC	 Règles de constatation des revenus
REVRECD	RRCD	 Détail des règles de reconnaissance des révisions
REVRECT	RRCT	 Constatation des revenus
REVRECV	REVRECV	 En-tête de constatation des revenus
REVRECVD	RRCVD	 Détails de la constatation des revenus
RHSBONFAC	RHSBF	 En-tête d'impression de facture
RITCUM	RCU	 Total de retenue
RITDUD	RIU	 Retenues par poste non soldé
RITENZIONE	RTZ	 Tableau des codes de retenue
RITHIS	RTH	 Historique des retenues payées
RITMVT	RTM	 Retenue des mouvements
RLSBONFAC	RLSBF	 Lignes de rapport SBONFACFRA
RLSBONFACI	RLSBFI	 Eléments de facturation SBONFACFRA
RLSBONFACO	RLSBFO	 SBONFACFRA éléments ouverts
RNWPREP	RWP	 Renouvellement
ROUOPE	ROO	 Routage - opérations
ROUOPESTD	ROT	 Opérations standards
ROUSCD	ROS	 Routage - opération de planification
ROUTING	ROH	 Routages - en-tête
RPLWST	RPW	 Centres de travail alternatifs
RPTDS	RDS	 Signaler les signatures électroniques
RSLINESGER1	RSLG1	 État récapitulatif
RSLINESGER2	RSLG2	 État récapitulatif
RSSCPC	RCPC	 Compétences
RSSCPCH	RCPH	 Compétences
RSSCPCL	RCPCL	 Compétences
RSSMNG	RSSM	 Ressource
RSSMNGHR	RSSMH	 Ressource
RSSMNGPIC	RSSP	 Ressource
RSSMNGTYP	RSST	 Ressource
RSSQLF	RQLF	 Qualification
RSSQLFL	RQLFL	 Qualification
RUBASSDEF	RDE	 Associations - définition
RUBASSDEFP	RDP	 Associations - définition/plan
RUBASSVAL	RVA	 Associations - valeurs
RUBASSVALP	RVP	 Associations - valeurs/plan
RUBGAC	RGA	 Comptes sur rubriques
RUBHIS	RUH	 Titre
RUBRIQUE	RUB	 Titre
RVACOED	COD	 Réval. coefficient (détail)
RVACOEH	COH	 Réval. coefficient (en-tête)
RVMVAL	RVV	 Versions de routage
SAFTPTTMP1	SAFTP	 SAF-T
SAITRS	SAI	 Opération d'entrée
SAITRSDET	DST	 Détail de la transaction d'entrée
SALESREP	REP	 Représentant commercial
SALESTAX	STB	 Rapport de taxe de vente
SALTRS	SLT	 Opérations de vente saisies
SBGEO	SBG	 Domaines de consultation des fournisseurs de services
SBODLINK	SBK	 Quantité de composants. calcul (lien)
SBPBL	SBP	 Compétences des fournisseurs de services
SCALE	HRSCA	 Échelle de niveau
SCALED	HRSDD	 Échelle de niveau de détail
SCALENIV	SCN	 Échelle de niveau
SCALES	SLE	 Balances
SCHEDULING	SCH	 Planification des bons de travail
SCHGD	SGD	 Ligne de changement de stock
SCHGH	SGH	 En-tête de variation de stock
SCMAPAR	SZP	 Configuration des prévisions APS
SCMDPAR	SDP	 Configuration SCM n.skep
SCOHEAD	SCO	 Commande de sous-traitance
SCOITM	SCI	 Commande de sous-traitance
SCOMAT	SCM	 Commander du matériel en sous-traitance
SCOSRV	SCS	 Commander des services en sous-traitance
SCOTRK	SCK	 Suivi des sous-traitances
SCPASW	SCA	 Réponses du script d'appel
SCPQST	SCQ	 Questions sur le script d'appel
SCPQSTCND	SQC	 Conditions d'acheminement
SCREMPD	HRSMD	 Écrans des employés
SCREMPH	HRSMH	 Écrans des employés
SCRIPT	SCP	 Script d'appel
SCRMHCD	SCD	 Transaction d'hypothèse de modification
SCRMHCH	HRSCH	 Transaction d'hypothèse de modification
SCRMHED	SED	 Transaction d'hypothèse d'arrivée
SCRMHEH	SEH	 Transaction d'hypothèse d'arrivée
SCRMHXD	SXD	 Transaction d'hypothèse de départ
SCRMHXH	SXH	 Transaction d'hypothèse de départ
SCRPLFD	HRSPD	 Opérations d'entrée
SCRPLFH	HRSPH	 Opérations d'entrée
SCRTPSD	STD	 Opérations d'entrée
SCRTPSH	STH	 Opérations d'entrée
SCRVRA	SVR	 Écrans de saisie variables
SDELIVERY	SDH	 En-tête de livraison
SDELIVERYD	SDD	 Détail de livraison
SDELIVERYNO	SDN	 Notification de livraison des ventes
SDELIVERYNOD	SDND	 Notification de livraison des ventes
SEARESULT	LUP	 Résultat de la recherche
SEASON	SES	 Profils de tendance
SEAUTH	SEU	 Autorisations de carte de crédit
SEBPC	SEB	 Données client de la passerelle de paiement
SECACT	SEA	 Secteur d'activité
SECPST	SPT	 Secteur leader
SECPSTSEL	SPS	 Sélection du secteur pilote
SELACC	SACC	 Comptes sélectionnés
SELCMG	SEC	 Liste des sélections marketing
SELCMGLIS	SCL	 Guide de sélection marketing
SELSSP	SSP	 Prise en charge des sélections
SELSSPCPN	SSC	 Composants d'aide à la sélection
SENTENCES	RSY	 Peines de risque pour la sécurité
SEPAR	SEP	 Passerelles de paiement
SEPRC	SER	 Configuration de la passerelle de paiement
SERREQUEST	SRE	 Demandes de services
SERVICE	SRV	 Prestations de service
SESJOU	SEJ	 Jours de séance
SESSIONS	HRSES	 Session
SETMAC	SEM	 Base répertoriée dans le modèle demandé
SETMACCPN	SEN	 Composants concernés
SETXN	SEX	 Transactions par carte de crédit
SFANAPAR	SFA	 Configuration des immobilisations Sage NA
SFOOTINV	SFI	 Eléments de facturation
SFTINDREF	SFTIR	 Références indirectes
SFTSHIFT	SFTS	 Code de quart de travail
SFTTEM	SFTTM	 Équipes
SFTTEMH	SFTTH	 Historique de l'équipe
SFTTXN	SFTX	 Transactions d'atelier
SFTTXNH	SFTH	 Trans. histoire
SHIPDOC	SHIPD	 Documents d'expédition
SHIPMENT	SHH	 Expédition
SHIPMENTD	SHD	 Détails de l'expédition
SHIPTRACK	SHIPT	 Suivi logistique des expéditions
SINCDET	SND	 Définition de la révision des prix de ligne
SINCENT	SNE	 Définition de mise à jour des prix
SINVOICE	SIH	 Factures des ventes
SINVOICED	SID	 Détail de la facture de vente
SINVOICEDLOC	SIDLOC	 Détail de la facture de vente
SINVOICELOC	SIHLOC	 Factures des ventes
SINVOICEV	SIV	 Facture de vente chiffrée
SIPARJOU	SPJ	 Migration intégrale
SIPARVAC	SPV	 Migration intégrale
SIPARVACB	SVB	 Migration intégrale
SIPARX3	SPX	 Migration intégrale
SITEPAYE	HRSIT	 Des sites
SITRACAR	SIC	 Transcodage
SITRACOD	SIR	 Transcodage
SITRAWRK	SIW	 Transcodage
SIWRKX3	SWX	 Migration intégrale
SKLMAP	SKM	 Nouvelle demande de personnel à SM
SKLMAPC	SKMC	 test
SLFPITTMP	SLFT	 PIT Lot-site
SLOTMD	SLD	 Ligne de modification de lot
SLOTMH	SLH	 En-tête de modification de lot
SMPKIT	KIT	 SMP Restez en contact
SMVTD	SMD	 Détail des mouvements de stock
SMVTDVAL	SMV	 Prix ??du mouvement
SMVTH	SMH	 En-tête de mouvement
SNPAFF	SPAF	 Affectation des employés
SNPBUD	SPJBU	 Budget du projet
SNPBUDLIG	SPJLB	 Ligne budgétaire
SNPMSTNEXINV	SPJMST	 Prochaine étape de facturation
SNPOPEAFF	SPJOA	 Affectation des employés
SNPOPPOR	SOPP	 Projet
SNPOPPORPJM	SOPPPJM	 Projet PJM
SNPPIMPL	SPIM	 Lien du projet
SNPTSK	SPJTA	 Tâche de projet
SNPTSKITM	SJTT	 Produit principal
SNPTSKLNK	SPTLNK	 Lien de priorité des tâches
SNPTSKOPE	SPTKO	 Tâches - Opérations
SNPTSKOPELNK	SOPLNK	 Lien de priorité des opérations
SOCACTRPT0	SAUR0	 Rapport unique sur l'activité sociale
SOCACTRPT1	SAUR1	 Rapport unique sur l'activité sociale
SOCACTRPT2	SAUR2	 Rapport unique sur l'activité sociale
SOCACTRPTA	SAURA	 Rapport unique sur l'activité sociale
SOCACTRPTB	SAURB	 Rapport unique sur l'activité sociale
SOCACTRPTC	SAURC	 Rapport unique sur l'activité sociale
SOCACTRPTC1	SAURC1	 Rapport unique sur l'activité sociale
SOCACTRPTC2	SAURC2	 Rapport unique sur l'activité sociale
SOCACTRPTD	SAURD	 Rapport unique sur l'activité sociale
SOCACTRPTE	SAURE	 Rapport unique sur l'activité sociale
SOCACTRPTEK	SAUREK	 Rapport unique sur l'activité sociale
SOCACTRPTH	SAURH	 Rapport unique sur l'activité sociale
SOI	SOI	 Création de relevé
SOLDPAY	HRSDP	 Solde de paiement
SOLRESULT	SOR	 Solutions trouvées
SOLUTION	SOL	 Solutions
SORDER	SOH	 Commandes clients - en-tête
SORDERC	SOC	 Commandes clients - en avance / en retard
SORDERP	SOP	 Commandes clients - prix
SORDERQ	SOQ	 Commandes clients - quantités
SPACK	SPH	 paquet de livraison
SPACKD	SPD	 Détail du colis de livraison
SPAMOD111	SPM111	 Formulaire espagnol 111
SPAMOD115	SPM115	 Formulaire espagnol 115
SPAMOD123	SPM123	 Formulaire espagnol 123
SPAMOD180	SPM180	 Formulaire espagnol 180
SPAMOD1801	SPM1801	 Formulaire espagnol 180
SPAMOD190	SPM190	 Formulaire espagnol 190
SPAMOD1901	SPM1901	 Détails du formulaire espagnol 190
SPAMOD193	SPM193	 Formulaire espagnol 193
SPAMOD1931	SPM1931	 Formulaire espagnol 193_1
SPAMOD1932	SPM1932	 Formulaire espagnol 193_2
SPAMOD216	SPM216	 Formulaire espagnol 216
SPAMOD296	SPM296	 Formulaire espagnol 296
SPAMOD2961	SPM2961	 Formulaire espagnol 296_1
SPAMOD303	SPM303	 Formulaire espagnol 303
SPAMOD347	SPM347	 Formulaire espagnol 347
SPAMOD347D	SPM347D	 Formulaire espagnol 347
SPAMOD349	SPM349	 Formulaire espagnol 349
SPAMOD349D	SPM349D	 Détail du formulaire espagnol 349
SPAMOD369	SPM369	 Formulaire espagnol 369
SPAMOD3691	SPM3691	 Formulaire espagnol 369
SPAMOD3692	SPM3692	 Formulaire espagnol 369
SPAMOD390	SPM390	 Formulaire espagnol 390
SPAMOD3901	SPM3901	 Formulaire espagnol 390 - détail 1
SPAMOD3902	SPM3902	 Formulaire espagnol 390 - détail 2
SPAMODCPY	SPMDC	 Formulaires espagnols par entreprise
SPAMODDET	SPMDET	 Détails des formulaires espagnols
SPAMODELS	SPMOD	 Formes espagnoles
SPASENDINQ	SPSINQ	 Envoi en cours
SPLIBREG	SPLREG	 Tenue de livre compte
SPPRTCONF	SPP	 Définition du catalogue de prix
SPREASON	SPR	 Motifs des tarifs de vente
SPRICCONF	SPC	 Paramètres de tarification client
SPRICFICH	SPF	 Prix ??clients (fiches)
SPRICINCR	SPI	 Augmentation du prix
SPRICLINK	SPK	 Recherche de tarifs de vente
SPRICLIST	SPL	 Listes de prix clients
SPRICPRTQ	SPQ	 Catalogue de prix de vente
SQUOTE	SQH	 En-tête du devis
SQUOTED	SQD	 Détail du devis
SREMAC	SRM	 Base concernée
SREMACCPN	SRN	 Composants concernés
SRESAT	SRS	 Historique du statut de la demande
SRESTAT	SST	 Statistiques demandées
SRETEMPL	SET	 Modèle de demande de service
SRETURN	SRH	 En-tête de retour de vente
SRETURND	SRD	 Détail des retours sur ventes
SSCNSSDCL	HRPSSC	 Sécurité sociale/Assurance
SSCNSSDCLD	SSD	 Sécurité sociale/Assurance
SSCNSSFIL	SSCF	 Sécurité sociale/Assurance
STAGE	STG	 Période d'entraînement
STAGEPRH	HRSTP	 Informations sur les périodes de formation
STAGETRG	HRSTR	 Objectifs de formation
STAT	SAT	 Statistiques
STATION	STX	 Lieu de pesée
STATIONBOX	SBX	 Configuration emplacement/stand
STATPRV	SAP	 Prévisions statistiques
STJTMP	SJT	 Interface - journal des stocks
STKMVTADJ	SMA	 Ajustement des coûts
STKMVTITC	SMI	 Mouvement avec valeur en attente
STKREGWRK	SRW	 Ajustement des coûts
STKTRS	SRT	 Opérations boursières
STLPAY	HRSTL	 Paiements
STOACCPAR	SAC	 Acteur. paramètre d'interface
STOADCSEARCH	SAS	 Configuration de la recherche de titres
STOALL	STA	 Allocations
STOCK	STO	 Action
STOCOST	STP	 Coût FIFO du stock
STOCOSTPIT	STPP	 Coût FIFO du stock PIT
STOJOU	STJ	 Journal des stocks
STOJOUOVE	SJO	 Mouvements de stock Ovhds
STOJOUVAL	SJV	 Valeurs de mouvement de stock
STOLOC	STC	 Emplacements
STOLOCAFF	STF	 Affectation des casiers
STOLOCRES	SWL	 Travaux de localisation
STOLOT	STL	 Numéros de lot
STOLOTFCY	SLF	 Lots - emplacements
STOLOTFCYPIT	SLFP	 PIT Lot-site
STOMVTCOST	SMC	 Lier des documents / pile FIFO
STOPAR	STE	 Paramètres des stocks
STOPRED	PRE	 Détails du ticket de sélection
STOPREH	PRH	 Choisir l'en-tête du ticket
STOPRELIS	PRL	 Liste de préparation des expéditions
STOPRELISW	PLW	 Listes de préparation du travail
STOPREW	PRW	 Fiche de préparation du travail
STOQLYD	QLD	 Détail du contrôle qualité
STOQLYH	QLH	 En-tête de contrôle qualité
STOQLYSMP	SMP	 Qual. échantillonnage de contrôle
STOQUAL	STQ	 Contrôle de qualité
STOREO	REO	 Réorganiser
STOSER	STS	 Numéros de série
STOSERW	SSW	 Séries en cours
STOSRG	SRG	 Stockage
STOSRGW	SGW	 Stockage (détails)
STOSYNW	SYW	 Travaux de resynchronisation des stocks
STOTRK	STR	 Traçabilité
STOTRKWRK	SKW	 Dossier de traçabilité
STOVALCUM	SVC	 Rapport sur les totaux de stocks valorisés
STOVALWRK	STV	 Rapport de valorisation des actions
STOWIPW	SWW	 Stock en cours de traitement
STPPITTMP	STPT	 Coût FIFO du stock PIT
SUBCONT	PRX	 Fournisseur de services
SUCURSAL	SCU	 Bifurquer
SVATCTL	SVAT	 Contrôler les règles SVAT
SVCRFOOT	SVF	 Document de vente - pied de page el.
SVCRFOOTLOC	SVFLOC	 Document de vente - pied de page el.
SVCRINVCND	SVIC	 Facture planifiée
SVCRINVCNDD	SVICD	 Facture planifiée
SVCRVAT	SVV	 Document de vente - taxe
SVCRVATLOC	SVVLOC	 Document de vente - taxe
SWIEZAG	SWIEZ	 Tableau temporaire
SWIIMPBVR	SWIIMP	 Importer un fichier ISR suisse
SWIIMPTMP	SWITMP	 Importer un fichier ISR suisse (temp.)
SWIQRC	SWIQRC	 Données QR suisses
SWRKDLV	SWD	 Génération automatique de livraisons
SWRKINV	SWI	 Facturation automatique
SWRKINVCND	SWICND	 Facturation automatique
SYNCDATA	SYD	 Données de synchronisation
SYNCLINK	SYL	 Synchroniser les références croisées
SYNCPAR	SYP	 Configuration de la synchronisation
TAAAXXX	XXX	 Tableau modèle à copier
TABACCINT	TCI	 Cartographie des comptes intersociétés
TABACCLIK	TCK	 Comptes réciproques
TABALLRUL	TRU	 Règles d'attribution et d'émission
TABAT	HRTAT	 Certificat WI/Maladie professionnelle
TABBOMALT	TBO	 Codes de nomenclature
TABBUDTYP	TBU	 Opérations budgétaires
TABCABCUT	CUT	 Règles de division en Colombie-Britannique
TABCHANGE	TCH	 Tableau des taux de change
TABCODEDT	TED	 Tableau des codes de rapport
TABCOEFF	TCO	 Tableau des coefficients
TABCONTAINER	TCTR	 Récipient
TABCOSTMET	TCM	 Méthodes de valorisation
TABCOSTMVT	TVM	 Valeurs de mouvement
TABCOUAFF	TCA	 Séquence Aucune affectation
TABCOUNTRY	TCY	 Tableau des pays
TABCTL	TCT	 Tableau de réponse
TABCUR	TCU	 Tableau des devises
TABDEPAGIO	TDA	 Tableau des remises anticipées/facturations tardives
TABEECNAT	TEC	 Tableau de nature des opérations intrastat
TABEECSCH	TSC	 Tableau de règles statistiques
TABEXPENS	TES	 Tableaux de dépenses
TABFILBAN	TFB	 Définitions des fichiers bancaires
TABFILCASH	TFC	 Dossier du Trésor
TABFILTDS	TFT	 Dossier de déclaration d'honoraires
TABFOR	TFO	 Tableau de formule
TABFORLEG	TFOLEG	 Formules selon la législation
TABGEOCOD	TGE	 Codes géographiques
TABINVCND	INVCND	 Conditions de facturation
TABINVCNDLIN	INVCNDD	 Conditions de facturation
TABLAN	TLA	 Tableau des langues
TABLINCFG	TLP	 Chaînes de production
TABLOCTYP	TLO	 Tableau des types d'emplacement
TABMAT	TMA	 Numéros d'identification
TABMODELIV	TMD	 Tableau des modes de livraison
TABMSG	TMS	 Tableau des messages
TABPACKAGE	TPA	 Tableau d'emballage
TABPAM	TAM	 Tableau des modes de paiement
TABPAYTERM	TPT	 Tableau des conditions de paiement
TABPAYTYP	TPY	 Opérations de paiement
TABPIVTYP	TPV	 Tableau des types de factures supplémentaires
TABPLACE	TPC	 Zone de transit
TABPLACETIME	TPCT	 Délai de transport
TABPNHTYP	TPN	 Tableau des types de retour
TABPRECOD	PRC	 Code de préparation
TABPRTMOD	TPM	 Imprimer le tableau des modèles
TABRATVAT	TRA	 Les taux d'imposition
TABREOPOL	TRP	 Tableau des règles de réorganisation
TABROUALT	TRO	 Gammes de nomenclature
TABROUND	TRN	 Arrondis
TABSAFSTO	TSA	 Coefficients du stock de sécurité
TABSCA	TSR	 Rejette
TABSDHTYP	TSD	 Livraisons de types de tables
TABSGHTYP	TSG	 Type de changement de stock
TABSIVTYP	TSV	 Tableau des types de facture client
TABSOHTYP	TSO	 Tableau des types de commande
TABSQHTYP	TSQ	 Tableau des types de devis
TABSRHTYP	TRE	 Tableau des types de retour
TABSTASTO	TST	 Rapport sur l'état des stocks
TABSTORUL	SRU	 Règles de gestion des stocks
TABSUBDIV	ATU	 Subdivisions géographiques
TABTNHTYP	TTN	 Type de bon de transport
TABUNAVAIL	TUV	 Périodes indisponibles
TABUNIT	TUN	 Tableau des unités de mesure
TABUNNBR	TUNNB	 Tableau des numéros ONU
TABVAC	TVC	 Table de détermination des taxes
TABVACBPR	TVB	 Tableau des règles fiscales tiers
TABVACITM	TVI	 Tableau des niveaux de taxe
TABVAT	TVT	 Tableau des codes fiscaux
TABVATEXE	TEX	 Tableau de défiscalisation
TABWEEDIA	TWD	 Structures hebdomadaires
TABWIPSTO	TWS	 Quantités de stock bloquées
TABWRKCTR	TWC	 Groupes de postes de travail
TACONTAINERC	TCTRC	 Clobs de conteneurs
TANKS	TKS	 réservoirs
TANKSGATES	TGT	 Affectations des réservoirs de porte
TASK	TSK	 Tâche
TASSEDIC	HRATS	 Attestation Pôle Emploi
TASSEDIC2	HRAT2	 Attestation Pôle Emploi
TASSEDIC3	HRAT3	 Attestation Pôle Emploi
TAUTILIS	TAU	 Utilisateurs sécurisés de X3 WAS
TAXLINK	TLK	 Calcul des taxes. calcul de base (lien)
TBASKET	TBA	 Panier
TBASKETD	TBD	 Ligne de panier d'achat
TCBLOB	TBB	 Dossiers spéciaux
TCCLOB	TBC	 Fichiers texte spéciaux
TCOURLIG	TCL	 Lignes de programme standard
TDSPRV	TPR	 Honoraires total/fournisseur de services
TDUPDCLC	TUC	 N° de série - modification du calcul
TEXCLOB	TXC	 Fichiers texte
TEXCPT	TCC	 Compteur de texte par table
TGRLIS	TGL	 Dictionnaire des cibles
TGRLISFIE	TLF	 Demande de cible
TGRLISLNK	TLL	 Tableaux liés
TGRSSP	TGP	 Support de présentation
TIKRESHEA	TRH	 Billets restaurant
TIKRESLIG	TRL	 Billets restaurant
TIMANA	TIA	 Temps analytique
TIMCNG	TIC	 Durée des vacances
TIMCOD	TIM	 Nature des événements
TIMEADJUST	TAD	 Heure d'été
TIMEMP	TIP	 Temps suivis
TIMEMPDAT	TID	 Résumé du temps
TIMETRANS	TTR	 Passer à l’heure d’été
TIMEZONEINFO	TZI	 Fuseaux horaires
TIMRECAP	TIR	 Résumé du temps
TIMREGUL	TIG	 Ajustement du temps
TITMLINK	TIK	 Éléments WAS liés
TITMMASTER	TIT	 Éléments Web
TMP2054	T54	 Relevé financier 2054 Tableau temporaire
TMP2055	T55	 État fiscal. 2055 temp. tableau
TMP2855	TVS	 Tableau temporaire Fisc. Stmt2855
TMP28578	TVS2	 Fisc. Stmts 2857 2858
TMPAED	HRFTMA	 Table temporaire d'impression DAE
TMPARPT	TARPT	 Tableau des touches d'impression temporaire
TMPARPTDET	TARPTD	 Tableau des touches d'impression temporaire
TMPBLA	TBL	 Tableau des touches d'impression temporaire
TMPCNSBAN	TCB	 Demande bancaire
TMPCNSESL1	TESL1	 Liste des ventes CE
TMPCNSESL2	TESL2	 Liste des ventes CE
TMPCNVECAR	TCE	 Échange. tarif table temporaire
TMPCPTDTA	TCD	 Interface comptable -données
